timestamp,step,payload_hex,payload_int,raw_position,unwrapped_position,direction,elapsed_step_s,instant_cps,steady
193236.0181998,2,00A000,40960,23192,23192,+,1.8986775999946985,2047.4706060369945,True
193236.193784,2,00A000,40960,23527,23527,+,2.074261800007662,1907.9165436028252,True
193236.3697178,2,00A000,40960,23885,23885,+,2.2501956000050995,2034.8562925669419,True
193236.54596,2,00A000,40960,24245,24245,+,2.426437799993437,2042.6435894684864,True
193236.7215455,2,00A000,40960,24640,24640,+,2.602023300016299,2249.616283511845,True
193236.8974446,2,00A000,40960,25070,25070,+,2.777922400011448,2444.5832867357362,True
193237.0735376,2,00A000,40960,25527,25527,+,2.9540153999987524,2595.2195716635433,True
193237.2703426,3,0072F1,29425,26017,26017,+,0.15005970001220703,,False
193237.44117,3,0072F1,29425,26280,26280,+,0.3208871000097133,1539.5656668885626,False
193237.617474,3,0072F1,29425,26437,26437,+,0.49719110000296496,890.5073055972041,False
193237.7930221,3,0072F1,29425,26555,26555,+,0.6727392000029795,672.1804451315066,True
193237.9692103,3,0072F1,29425,26655,26655,+,0.8489274000166915,567.5748999775092,True
193238.1448089,3,0072F1,29425,26754,26754,+,1.0245259999937844,563.7858161335839,True
193238.3208214,3,0072F1,29425,26867,26867,+,1.2005385000084061,641.9998579113008,True
193238.4965989,3,0072F1,29425,26977,26977,+,1.3763160000089556,625.7911279865519,True
193238.672507,3,0072F1,29425,27102,27102,+,1.5522241000144277,710.5983180769479,True
193238.8488276,3,0072F1,29425,27226,27226,+,1.7285447000176646,703.2643945048031,True
193239.0245671,3,0072F1,29425,27361,27361,+,1.9042841999907978,768.1824519851177,True
193239.2002177,3,0072F1,29425,27493,27493,+,2.0799348000145983,751.4918820779098,True
193239.376302,3,0072F1,29425,27645,27645,+,2.256019099993864,863.2228995878579,True
193239.5521447,3,0072F1,29425,27815,27815,+,2.4318617999961134,966.7731443945379,True
193239.7279851,3,0072F1,29425,28020,28020,+,2.6077022000099532,1165.8299229520924,True
193239.9042339,3,0072F1,29425,28281,28281,+,2.7839509999903385,1480.861146453461,True
193240.0797806,3,0072F1,29425,28513,28513,+,2.9594977000087965,1321.58565199805,True
193240.2714456,4,005000,20480,28725,28725,+,0.1505444000067655,,False
193240.4318791,4,005000,20480,28783,28783,+,0.310977900022408,361.52050534548533,False
193240.6077443,4,005000,20480,28792,28792,+,0.48684310002136044,51.17555946289322,False
193240.7834633,4,005000,20480,28799,28799,+,0.6625621000130195,39.83632959630018,True
193240.95936,4,005000,20480,28820,28820,+,0.8384588000189979,119.38825457945633,True
193241.1352406,4,005000,20480,28831,28831,+,1.0143394000187982,62.54242935271137,True
193241.3113575,4,005000,20480,28840,28840,+,1.1904563000134658,51.1024211774821,True
193241.4870802,4,005000,20480,28863,28863,+,1.3661790000041947,130.8880412218426,True
193241.6630083,4,005000,20480,28885,28885,+,1.5421071000164375,125.05108620208497,True
193241.8390634,4,005000,20480,28917,28917,+,1.7181622000061907,181.7612781558868,True
193242.0151876,4,005000,20480,28945,28945,+,1.8942863999982364,158.97872070541445,True
193242.1910842,4,005000,20480,28972,28972,+,2.0701830000034533,153.4992717266804,True
193242.3666796,4,005000,20480,29011,29011,+,2.2457784000143874,222.1014901163215,True
193242.5426459,4,005000,20480,29053,29053,+,2.4217446999973617,238.68206585047096,True
193242.7184447,4,005000,20480,29120,29120,+,2.597543500014581,381.11750474654843,True
193242.8946193,4,005000,20480,29206,29206,+,2.773718100012047,488.1520945768389,True
193243.0703925,4,005000,20480,29320,29320,+,2.949491300008958,648.5630346492151,True
193243.272105,5,003978,14712,29393,29393,+,0.15012110001407564,,False
