axis,changed_bit_positions_lsb0,elapsed_ms,hamming_distance,monotonic_s,raw_position,reply_kind,rx_bytes_hex,sample_index,timestamp,tx_bytes_hex,valid_position,xor_to_modal_hex
alt,,11.961999989580363,0,283599.6680189,1059285,valid,1029D5,107,1790097582.68481,15,True,000000
alt,,11.980100010987371,0,283599.7000273,1059285,valid,1029D5,108,1790097582.7168183,15,True,000000
alt,,11.959900031797588,0,283599.732022,1059285,valid,1029D5,109,1790097582.7488165,15,True,000000
alt,,11.621500016190112,0,283599.7640298,1059285,valid,1029D5,110,1790097582.780821,15,True,000000
alt,,11.499400017783046,0,283599.7960148,1059285,valid,1029D5,111,1790097582.812806,15,True,000000
alt,,11.550399998668581,0,283599.8275962,1059285,valid,1029D5,112,1790097582.8443873,15,True,000000
alt,,12.041900015901774,0,283599.8597109,1059285,valid,1029D5,113,1790097582.8765037,15,True,000000
alt,,11.54620002489537,0,283599.8915954,1059285,valid,1029D5,114,1790097582.9083865,15,True,000000
alt,,11.541099986061454,0,283599.9235994,1059285,valid,1029D5,115,1790097582.9403915,15,True,000000
alt,,11.754799983464181,0,283599.9555919,1059285,valid,1029D5,116,1790097582.9723833,15,True,000000
alt,,11.839099985081702,0,283599.9876004,1059285,valid,1029D5,117,1790097583.0043917,15,True,000000
alt,,11.506600014399737,0,283600.0195858,1059285,valid,1029D5,118,1790097583.0363772,15,True,000000
alt,,11.980600014794618,0,283600.0515943,1059285,valid,1029D5,119,1790097583.0683856,15,True,000000
alt,,11.975599976722151,0,283600.0835978,1059285,valid,1029D5,120,1790097583.100389,15,True,000000
alt,,11.962699994910508,0,283600.1155949,1059285,valid,1029D5,121,1790097583.132386,15,True,000000
alt,,11.503499990794808,0,283600.1475815,1059285,valid,1029D5,122,1790097583.1643724,15,True,000000
alt,,11.961800046265125,0,283600.1795908,1059285,valid,1029D5,123,1790097583.196382,15,True,000000
alt,,11.624899983871728,0,283600.2115807,1059285,valid,1029D5,124,1790097583.2283719,15,True,000000
alt,,11.966800026129931,0,283600.2435893,1059285,valid,1029D5,125,1790097583.2603805,15,True,000000
alt,,11.510300042573363,0,283600.2755881,1059285,valid,1029D5,126,1790097583.2923791,15,True,000000
alt,,11.805499962065369,0,283600.3075832,1059285,valid,1029D5,127,1790097583.3243744,15,True,000000
alt,,11.511599994264543,0,283600.3395855,1059285,valid,1029D5,128,1790097583.3563766,15,True,000000
alt,,11.867899971548468,0,283600.3715871,1059285,valid,1029D5,129,1790097583.3883817,15,True,000000
alt,,11.501600034534931,0,283600.4035757,1059285,valid,1029D5,130,1790097583.4203668,15,True,000000
alt,,11.982100026216358,0,283600.4355835,1059285,valid,1029D5,131,1790097583.4523745,15,True,000000
alt,,11.969500046689063,0,283600.4675839,1059285,valid,1029D5,132,1790097583.4843752,15,True,000000
alt,,11.511499993503094,0,283600.4995823,1059285,valid,1029D5,133,1790097583.5163739,15,True,000000
alt,,11.987900012172759,0,283600.5316047,1059285,valid,1029D5,134,1790097583.5483959,15,True,000000
