commanded_progress_counts,counts_per_s,degrees_per_s,direction,end_raw,first_half_cps,half_rate_ratio,invalid_samples_total,kick_payload_hex,kick_seconds,material_reverse_samples_total,measure_start_raw,measurement_delta_counts,measurement_elapsed_s,min_progress_counts,mode,observation_seconds,payload_hex,payload_index,preflight_alt_raw,preflight_az_raw,reliability_reason,run_label,run_status,sample_seconds,second_half_cps,settle_seconds,stability_reason,stable_motion,start_raw,start_rx_bytes_hex,target_cps,target_cps_error,trial_index,trial_reliable,trials_requested,warmup_seconds
125,0.0,0.0,+,10837,,,0,0072F1,0.5,0,10837,0,7.87975059999917,20,sustain,15.0,00000B,11,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10712,0029D8,12.3,-12.3,1,False,1,7.0
124,0.0,0.0,+,10961,,,0,0072F1,0.5,0,10961,0,7.863741799999843,20,sustain,15.0,00000C,12,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10837,002A55,12.3,-12.3,1,False,1,7.0
130,0.0,0.0,+,11091,,,0,0072F1,0.5,0,11091,0,7.864748799998779,20,sustain,15.0,00000D,13,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,10961,002AD1,12.3,-12.3,1,False,1,7.0
96,0.0,0.0,+,11187,,,0,0072F1,0.5,0,11187,0,7.863752799999929,20,sustain,15.0,00000E,14,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11091,002B53,12.3,-12.3,1,False,1,7.0
127,0.0,0.0,+,11314,,,0,0072F1,0.5,0,11314,0,7.863747400000648,20,sustain,15.0,00000F,15,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11187,002BB3,12.3,-12.3,1,False,1,7.0
105,0.0,0.0,+,11419,,,0,0072F1,0.5,0,11419,0,7.863742399998955,20,sustain,15.0,000010,16,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11314,002C32,12.3,-12.3,1,False,1,7.0
145,0.0,0.0,+,11564,,,0,0072F1,0.5,0,11564,0,7.864770899999712,20,sustain,15.0,000011,17,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11419,002C9B,12.3,-12.3,1,False,1,7.0
122,0.25485035333791606,8.660785630291069e-05,+,11686,,,0,0072F1,0.5,0,11684,2,7.847742699999799,20,sustain,15.0,000012,18,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11564,002D2C,12.3,-12.045149646662084,1,False,1,7.0
125,0.0,0.0,+,11811,,,0,0072F1,0.5,0,11811,0,7.864734100001442,20,sustain,15.0,000013,19,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11686,002DA6,12.3,-12.3,1,False,1,7.0
111,0.25431287940623604,8.642520219067651e-05,+,11922,,,0,0072F1,0.5,0,11920,2,7.864328399999067,20,sustain,15.0,000014,20,3,9469,motion-not-stable,az-postswap-reliable-sustain-plus-gap-screen-r3,completed,0.18,,1.0,no-commanded-progress-in-both-halves,False,11811,002E23,12.3,-12.045687120593765,1,False,1,7.0
