timestamp,step,payload_hex,payload_int,raw_position,unwrapped_position,direction,elapsed_step_s,instant_cps,steady
118469.898012,6,002000,8192,665176,665176,+,2.7741289000114193,0.0,True
118470.073992,6,002000,8192,665176,665176,+,2.9501089000114007,0.0,True
118470.274459,7,001000,4096,665176,665176,+,0.15005489999020938,,False
118470.4419547,7,001000,4096,665176,665176,+,0.31755059999704827,0.0,False
118470.617672,7,001000,4096,665176,665176,+,0.4932678999903146,0.0,False
118470.7935519,7,001000,4096,665176,665176,+,0.6691477999993367,0.0,True
118470.969417,7,001000,4096,665176,665176,+,0.8450128999975277,0.0,True
118471.1453561,7,001000,4096,665176,665176,+,1.0209519999916665,0.0,True
118471.3215194,7,001000,4096,665176,665176,+,1.1971152999904007,0.0,True
118471.4971615,7,001000,4096,665176,665176,+,1.3727573999931337,0.0,True
118471.6730925,7,001000,4096,665176,665176,+,1.5486883999983547,0.0,True
118471.8492548,7,001000,4096,665176,665176,+,1.7248507000040263,0.0,True
118472.0250511,7,001000,4096,665176,665176,+,1.900647000002209,0.0,True
118472.2007991,7,001000,4096,665176,665176,+,2.0763949999964098,0.0,True
118472.3771739,7,001000,4096,665176,665176,+,2.2527697999903467,0.0,True
118472.5533631,7,001000,4096,665176,665176,+,2.4289589999971213,0.0,True
118472.7289249,7,001000,4096,665176,665176,+,2.604520799999591,0.0,True
118472.9044613,7,001000,4096,665176,665176,+,2.7800571999978274,0.0,True
118473.0803719,7,001000,4096,665176,665176,+,2.955967799993232,0.0,True
118473.2751932,8,000800,2048,665176,665176,+,0.15047300000151154,,False
118473.4485319,8,000800,2048,665176,665176,+,0.3238117000000784,0.0,False
118473.6241243,8,000800,2048,665176,665176,+,0.49940410000272095,0.0,False
118473.8004174,8,000800,2048,665176,665176,+,0.6756972000002861,0.0,True
118473.9760548,8,000800,2048,665176,665176,+,0.8513346000108868,0.0,True
118474.1518299,8,000800,2048,665176,665176,+,1.0271097000077134,0.0,True
118474.3277114,8,000800,2048,665176,665176,+,1.2029911999998149,0.0,True
118474.5036453,8,000800,2048,665176,665176,+,1.378925100012566,0.0,True
118474.6795667,8,000800,2048,665176,665176,+,1.5548465000028955,0.0,True
118474.855469,8,000800,2048,665176,665176,+,1.7307488000078592,0.0,True
118475.031345,8,000800,2048,665176,665176,+,1.9066248000017367,0.0,True
118475.2072737,8,000800,2048,665176,665176,+,2.0825535000039963,0.0,True
118475.3831829,8,000800,2048,665176,665176,+,2.2584627000032924,0.0,True
118475.5594629,8,000800,2048,665176,665176,+,2.434742700002971,0.0,True
118475.7353347,8,000800,2048,665176,665176,+,2.6106145000085235,0.0,True
118475.9112699,8,000800,2048,665176,665176,+,2.7865497000020696,0.0,True
118476.0868304,8,000800,2048,665176,665176,+,2.9621102000091923,0.0,True
118476.2751444,9,000400,1024,665176,665176,+,0.15005199999723118,,False
118476.4386602,9,000400,1024,665176,665176,+,0.3135677999962354,0.0,False
118476.6145022,9,000400,1024,665176,665176,+,0.4894097999931546,0.0,False
118476.7904277,9,000400,1024,665176,665176,+,0.6653353000001516,0.0,True
118476.9663492,9,000400,1024,665176,665176,+,0.8412567999912426,0.0,True
118477.1423019,9,000400,1024,665176,665176,+,1.017209500001627,0.0,True
118477.3181489,9,000400,1024,665176,665176,+,1.193056499992963,0.0,True
118477.494069,9,000400,1024,665176,665176,+,1.3689765999879455,0.0,True
118477.6699715,9,000400,1024,665176,665176,+,1.5448790999944322,0.0,True
118477.8459751,9,000400,1024,665176,665176,+,1.7208826999994926,0.0,True
118478.0221543,9,000400,1024,665176,665176,+,1.89706189998833,0.0,True
118478.1977682,9,000400,1024,665176,665176,+,2.072675799994613,0.0,True
118478.3740018,9,000400,1024,665176,665176,+,2.248909399990225,0.0,True
118478.5494884,9,000400,1024,665176,665176,+,2.4243960000021616,0.0,True
118478.7253849,9,000400,1024,665176,665176,+,2.600292499992065,0.0,True
118478.9013126,9,000400,1024,665176,665176,+,2.776220200001262,0.0,True
118479.077328,9,000400,1024,665176,665176,+,2.95223559999431,0.0,True
118479.275885,10,000200,512,665176,665176,+,0.1500363999948604,,False
118479.4452539,10,000200,512,665176,665176,+,0.31940530000429135,0.0,False
118479.6210221,10,000200,512,665176,665176,+,0.4951734999922337,0.0,False
118479.7968758,10,000200,512,665176,665176,+,0.6710272000054829,0.0,True
118479.972801,10,000200,512,665176,665176,+,0.8469523999956436,0.0,True
118480.1491513,10,000200,512,665176,665176,+,1.0233026999922004,0.0,True
118480.3249617,10,000200,512,665176,665176,+,1.1991130999958841,0.0,True
118480.5005001,10,000200,512,665176,665176,+,1.3746514999947976,0.0,True
118480.6765091,10,000200,512,665176,665176,+,1.5506604999973206,0.0,True
118480.8523447,10,000200,512,665176,665176,+,1.7264961000037147,0.0,True
118481.0284609,10,000200,512,665176,665176,+,1.9026122999930521,0.0,True
118481.2042899,10,000200,512,665176,665176,+,2.0784412999928463,0.0,True
118481.3800899,10,000200,512,665176,665176,+,2.254241300004651,0.0,True
118481.5561353,10,000200,512,665176,665176,+,2.430286699993303,0.0,True
118481.7319112,10,000200,512,665176,665176,+,2.6060625999962213,0.0,True
118481.9077991,10,000200,512,665176,665176,+,2.7819504999933997,0.0,True
118482.0837462,10,000200,512,665176,665176,+,2.9578976000047987,0.0,True
118482.2764435,11,0000F5,245,665176,665176,+,0.1500335000018822,,False
118482.4519573,11,0000F5,245,665176,665176,+,0.3255473000026541,0.0,False
118482.627451,11,0000F5,245,665176,665176,+,0.5010409999958938,0.0,True
118482.8034346,11,0000F5,245,665176,665176,+,0.6770246000087354,0.0,True
118482.9792726,11,0000F5,245,665176,665176,+,0.8528626000043005,0.0,True
118483.1552125,11,0000F5,245,665176,665176,+,1.0288025000045309,0.0,True
118483.331103,11,0000F5,245,665176,665176,+,1.2046930000069551,0.0,True
118483.507019,11,0000F5,245,665176,665176,+,1.3806089999998221,0.0,True
118483.6829208,11,0000F5,245,665176,665176,+,1.5565108000009786,0.0,True
118483.8588247,11,0000F5,245,665176,665176,+,1.7324147000035737,0.0,True
118484.0347533,11,0000F5,245,665176,665176,+,1.9083433000050718,0.0,True
118484.2106242,11,0000F5,245,665176,665176,+,2.084214200003771,0.0,True
118484.3869186,11,0000F5,245,665176,665176,+,2.260508599996683,0.0,True
118484.5624484,11,0000F5,245,665176,665176,+,2.4360384000028716,0.0,True
118484.7383662,11,0000F5,245,665177,665177,+,2.6119562000094447,5.684473088923551,True
118484.9144251,11,0000F5,245,665179,665179,+,2.788015099999029,11.359834692357607,True
118485.0901837,11,0000F5,245,665185,665185,+,2.963773700001184,34.137732093487564,True
