cumulative_from_start,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
11726,810,+,7.889965000009397,2303.5904727377197,,211745.9543797,0072F1,MEDIUM,11681,002DA1,1071009,True
12076,350,+,8.065803900011815,1990.4583115293995,,211746.1302186,0072F1,MEDIUM,12031,002EFF,1071359,True
12445,369,+,8.241711300011957,2097.694582488868,,211746.306126,0072F1,MEDIUM,12400,003070,1071728,True
12856,411,+,8.417590099998051,2336.836503504092,,211746.4820048,0072F1,MEDIUM,12811,00320B,1072139,True
13260,404,+,8.59354619999067,2296.027247801863,,211746.6579609,0072F1,MEDIUM,13215,00339F,1072543,True
13633,373,+,8.769399899989367,2121.081330690018,,211746.8338146,0072F1,MEDIUM,13588,003514,1072916,True
14038,405,+,8.945324000000255,2302.1291566927607,,211747.0097387,0072F1,MEDIUM,13993,0036A9,1073321,True
14465,427,+,9.121201400004793,2427.827566185212,,211747.1856161,0072F1,MEDIUM,14420,003854,1073748,True
14886,421,+,9.297333299997263,2390.2541221550405,,211747.361748,0072F1,MEDIUM,14841,0039F9,1074169,True
15268,382,+,9.473350100015523,2170.247385251696,,211747.5377648,0072F1,MEDIUM,15223,003B77,1074551,True
15680,412,+,9.649181999993743,2343.1470629108408,,211747.7135967,0072F1,MEDIUM,15635,003D13,1074963,True
16109,429,+,9.82534619999933,2435.2280428508966,,211747.8897609,0072F1,MEDIUM,16064,003EC0,1075392,True
16554,445,+,10.000767099991208,2536.7558826833356,,211748.0651818,0072F1,MEDIUM,16509,00407D,1075837,True
16997,443,+,10.177123700006632,2511.9558891544466,,211748.2415384,0072F1,MEDIUM,16952,004238,1076280,True
