timestamp,elapsed_s,rx_bytes_hex,reply_kind,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,note
194742.1938595,10.026775899983477,01D64A,valid,120394,120394,514,2920.9291965700672,2774.9068967843027,0072F1,moving-transient,True,
194742.3696921,10.202608499996131,01D868,valid,120936,120936,542,3082.477310584004,2828.0582050477633,0072F1,moving-transient,True,
194742.5456241,10.378540499979863,01DA65,valid,121445,121445,509,2893.1632678936576,2884.7850743427734,0072F1,moving-transient,True,
194742.721528,10.554444399982458,01DD78,valid,122232,122232,787,4474.033833180445,3169.1961033277476,0072F1,moving-transient,True,
194742.8974193,10.730335699976422,01DE94,valid,122516,122516,284,1614.6335834105842,3119.096139054295,0072F1,moving-transient,True,
194743.0733175,10.906233899993822,01E0BB,valid,123067,123067,551,3132.493680694256,3068.6909500919473,0072F1,moving-transient,True,
194743.2492558,11.082172199996421,01E2CE,valid,123598,123598,531,3018.1035055593666,2998.3192683562506,0072F1,moving-transient,True,
194743.4251271,11.258043499983614,01E4FF,valid,124159,124159,561,3189.8325652954836,2959.2660291846446,0072F1,moving-transient,True,
194743.6010988,11.434015199978603,01E711,valid,124689,124689,530,3011.8479279059825,2882.1317272910997,0072F1,moving-transient,True,
194743.7769489,11.609865299978992,01E918,valid,125208,125208,519,2951.3773378511137,3067.6336273375173,0072F1,moving-transient,True,
194743.9528629,11.785779300000286,01EB48,valid,125768,125768,560,3183.37369357876,3064.1026071847086,0072F1,moving-transient,True,
194744.1287813,11.961697699996876,01ED85,valid,126341,126341,573,3257.191970885976,3095.984603297602,0072F1,steady-state-tail,True,
194744.3047102,12.137626599986106,01EFCF,valid,126927,126927,586,3330.8910590350524,3143.803306292221,0072F1,steady-state-tail,True,
194744.4806522,12.313568599987775,01F1D1,valid,127441,127441,514,2921.417285214016,3165.5205336887993,0072F1,steady-state-tail,True,
194744.6565533,12.489469699998153,09F415,implausible-jump,652309,127441,524868,,,0072F1,invalid,False,rejected-implausible-position-jump
194744.8324552,12.66537159998552,01F667,valid,128615,128615,1174,3337.0949082512866,3222.6671573167932,0072F1,steady-state-tail,True,
194745.0083827,12.841299099993194,01F8C5,valid,129221,129221,606,3444.6007586850596,3260.6310657565277,0072F1,steady-state-tail,True,
194745.1843024,13.017218799999682,01FB0E,valid,129806,129806,585,3325.3808412498574,3296.367778275722,0072F1,steady-state-tail,True,
194745.3602198,13.193136199988658,01FD6F,valid,130415,130415,609,3461.8519830225187,3379.101546786703,0072F1,steady-state-tail,True,
194745.5361384,13.36905479998677,01FFD2,valid,131026,131026,611,3473.1972628622257,3419.7293549926294,0072F1,steady-state-tail,True,
194745.7120334,13.544949799979804,020231,valid,131633,131633,607,3450.922425447228,3429.2251198496233,0072F1,steady-state-tail,True,
194745.8879541,13.720870499993907,020467,valid,132199,132199,566,3217.358730124567,3407.8457462907113,0072F1,steady-state-tail,True,
194746.0638419,13.896758299990324,0206A8,valid,132776,132776,577,3280.5004099872417,3379.843468834626,0072F1,steady-state-tail,True,
194746.2398079,14.072724300000118,020903,valid,133379,133379,603,3426.798358583128,3351.6479534561654,0072F1,steady-state-tail,True,
194746.4156647,14.248581099993316,020B63,valid,133987,133987,608,3457.3584872664333,3349.1187376897433,0072F1,steady-state-tail,True,
194746.5915696,14.424485999974422,020D9F,valid,134559,134559,572,3251.7570577137967,3345.41790785006,0072F1,steady-state-tail,True,
194746.7675281,14.600444499985315,02100D,valid,135181,135181,622,3534.924427984411,3389.2011954455215,0072F1,steady-state-tail,True,
194746.9434222,14.7763386000006,02125B,valid,135771,135771,590,3354.2910191344185,3403.1374765387154,0072F1,steady-state-tail,True,
194747.1193165,14.952232899988303,0214B9,valid,136377,136377,606,3445.2509265073645,3405.030586669637,0072F1,steady-state-tail,True,
