cumulative_progress,cycle_elapsed_s,cycle_index,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
8343,5.95511969999643,4,260,+,40.069441200001165,1476.8019966583797,,260390.7525734,0072F1,MEDIUM,216450,034D82,216450,True
8625,6.130876399984118,4,282,+,40.24519789998885,1604.4907535232273,,260390.9283301,0072F1,MEDIUM,216732,034E9C,216732,True
8943,6.306940199981909,4,318,+,40.421261699986644,1806.1634475910928,,260391.1043939,0072F1,MEDIUM,217050,034FDA,217050,True
9247,6.482917199988151,4,304,+,40.597238699992886,1727.4984798537164,,260391.2803709,0072F1,MEDIUM,217354,03510A,217354,True
9598,6.658642099995632,4,351,+,40.77296360000037,1997.4403171380814,,260391.4560958,0072F1,MEDIUM,217705,035269,217705,True
9960,6.834552599990275,4,362,+,40.94887409999501,2057.864652826431,,260391.6320063,0072F1,MEDIUM,218067,0353D3,218067,True
10326,7.0106105000013486,4,366,+,41.12493200000608,2078.8615562095147,,260391.8080642,0072F1,MEDIUM,218433,035541,218433,True
10684,7.186607099982211,4,358,+,41.300928599986946,2034.1302050092304,,260391.9840608,0072F1,MEDIUM,218791,0356A7,218791,True
11061,7.362770099978661,4,377,+,41.477091599983396,2140.0634639941286,,260392.1602238,0072F1,MEDIUM,219168,035820,219168,True
11425,7.538691399997333,4,364,+,41.65301290000207,2069.1070379844045,,260392.3361451,0072F1,MEDIUM,219532,03598C,219532,True
11829,7.714099999982864,4,404,+,41.8284214999876,2303.1938002659267,,260392.5115537,0072F1,MEDIUM,219936,035B20,219936,True
12249,7.890418499999214,4,420,+,42.00474000000395,2382.052932398204,,260392.6878722,0072F1,MEDIUM,220356,035CC4,220356,True
12678,8.065939399995841,4,429,+,42.180260900000576,2444.1533743744694,,260392.8633931,0072F1,MEDIUM,220785,035E71,220785,True
13137,8.242045999999391,4,459,+,42.356367500004126,2606.3759109013963,,260393.0394997,0072F1,MEDIUM,221244,03603C,221244,True
13533,8.417789999977686,4,396,+,42.53211149998242,2253.277494815802,,260393.2152437,0072F1,MEDIUM,221640,0361C8,221640,True
13935,8.594099699985236,4,402,+,42.70842119998997,2280.0787476967203,,260393.3915534,0072F1,MEDIUM,222042,03635A,222042,True
14353,8.769596899976023,4,418,+,42.88391839998076,2381.804382189257,,260393.5670506,0072F1,MEDIUM,222460,0364FC,222460,True
14806,8.945819299988216,4,453,+,43.06014079999295,2570.6153131988663,,260393.743273,0072F1,MEDIUM,222913,0366C1,222913,True
15255,9.121372299996438,4,449,+,43.23569380000117,2557.6321679434236,,260393.918826,0072F1,MEDIUM,223362,036882,223362,True
15721,9.297309899993706,4,466,+,43.41163139999844,2648.666345381735,,260394.0947636,0072F1,MEDIUM,223828,036A54,223828,True
16206,9.473458399996161,4,485,+,43.587779900000896,2753.3586717641115,,260394.2709121,0072F1,MEDIUM,224313,036C39,224313,True
16693,9.649565499974415,4,487,+,43.76388699997915,2765.3626688539966,,260394.4470192,0072F1,MEDIUM,224800,036E20,224800,True
17180,9.825010899978224,4,487,+,43.93933239998296,2775.7923547122105,,260394.6224646,0072F1,MEDIUM,225287,037007,225287,True
17655,10.000898099999176,4,475,+,44.11521960000391,2700.5944715898413,,260394.7983518,0072F1,MEDIUM,225762,0371E2,225762,True
18141,10.176849099982064,4,486,+,44.2911705999868,2762.132639469318,,260394.9743028,0072F1,MEDIUM,226248,0373C8,226248,True
113,0.15020429997821338,5,113,+,44.83501419998356,752.3051829991032,,260395.5181464,00E5E3,FAST,226655,03755F,226655,True
378,0.3263674999761861,5,265,+,45.011177399981534,1504.2869339513,,260395.6943096,00E5E3,FAST,226920,037668,226920,True
758,0.5020262999751139,5,380,+,45.18683619998046,2163.2847315495683,,260395.8699684,00E5E3,FAST,227300,0377E4,227300,True
1188,0.6780840999854263,5,430,+,45.362893999990774,2442.3797183357588,,260396.0460262,00E5E3,FAST,227730,037992,227730,True
1641,0.8538254000013694,5,453,+,45.53863530000672,2577.6524923788784,,260396.2217675,00E5E3,FAST,228183,037B57,228183,True
2150,1.0299990999919828,5,509,+,45.71480899999733,2889.1940171950737,,260396.3979412,00E5E3,FAST,228692,037D54,228692,True
2636,1.205537399975583,5,486,+,45.89034729998093,2768.626562097303,,260396.5734795,00E5E3,FAST,229178,037F3A,229178,True
3090,1.3814386999874841,5,454,+,46.06624859999283,2580.9928634369567,,260396.7493808,00E5E3,FAST,229632,038100,229632,True
3606,1.557493100001011,5,516,+,46.24230300000636,2930.912263257004,,260396.9254352,00E5E3,FAST,230148,038304,230148,True
4138,1.7337100000004284,5,532,+,46.418519900005776,3019.0066900607094,,260397.1016521,00E5E3,FAST,230680,038518,230680,True
4615,1.9091843999922276,5,477,+,46.593994299997576,2718.3452402304424,,260397.2771265,00E5E3,FAST,231157,0386F5,231157,True
5100,2.0852374999958556,5,485,+,46.770047400001204,2754.8506671567,,260397.4531796,00E5E3,FAST,231642,0388DA,231642,True
5393,2.2612301999761257,5,293,+,46.946040099981474,1664.8417805559386,,260397.6291723,0072F1,MEDIUM,231935,0389FF,231935,True
5400,2.4370605000003707,5,7,+,47.12187040000572,39.81111332366937,,260397.8050026,0072F1,MEDIUM,231942,038A06,231942,True
5400,2.6130506999907084,5,0,+,47.297860599996056,0.0,,260397.9809928,0072F1,MEDIUM,231942,038A06,231942,True
5400,2.7891101999848615,5,0,+,47.47392009999021,0.0,,260398.1570523,0072F1,MEDIUM,231942,038A06,231942,True
5400,2.964741599978879,5,0,+,47.64955149998423,0.0,,260398.3326837,0072F1,MEDIUM,231942,038A06,231942,True
5400,3.1406126999936532,5,0,+,47.825422599999,0.0,,260398.5085548,0072F1,MEDIUM,231942,038A06,231942,True
5400,3.3169302999740466,5,0,+,48.001740199979395,0.0,,260398.6848724,0072F1,MEDIUM,231942,038A06,231942,True
5400,3.492712199978996,5,0,+,48.177522099984344,0.0,,260398.8606543,0072F1,MEDIUM,231942,038A06,231942,True
5400,3.668533699994441,5,0,+,48.35334359999979,0.0,,260399.0364758,0072F1,MEDIUM,231942,038A06,231942,True
5400,3.844275099982042,5,0,+,48.52908499998739,0.0,,260399.2122172,0072F1,MEDIUM,231942,038A06,231942,True
5427,4.020443499990506,5,27,+,48.705253399995854,153.26244660621742,,260399.3883856,0072F1,MEDIUM_RESEND,231969,038A21,231969,True
5443,4.196019299997715,5,16,+,48.88082920000306,91.1287318602167,,260399.5639614,0072F1,MEDIUM_RESEND,231985,038A31,231985,True
5474,4.3719350999745075,5,31,+,49.056744999979855,176.22066922976614,,260399.7398772,0072F1,MEDIUM_RESEND,232016,038A50,232016,True
5513,4.548175799980527,5,39,+,49.232985699985875,221.28827222467905,,260399.9161179,0072F1,MEDIUM_RESEND,232055,038A77,232055,True
5551,4.72411949999514,5,38,+,49.40892940000049,215.97817936557993,,260400.0920616,0072F1,MEDIUM_RESEND,232093,038A9D,232093,True
5587,4.899661699979333,5,36,+,49.58447159998468,205.0788927291655,,260400.2676038,0072F1,MEDIUM_RESEND,232129,038AC1,232129,True
5628,5.075567199994111,5,41,+,49.76037709999946,233.0796933384999,,260400.4435093,0072F1,MEDIUM_RESEND,232170,038AEA,232170,True
5690,5.251541099976748,5,62,+,49.936350999982096,352.3249754998752,,260400.6194832,0072F1,MEDIUM_RESEND,232232,038B28,232232,True
5766,5.427441599982558,5,76,+,50.112251499987906,432.06244437900915,,260400.7953837,0072F1,MEDIUM_RESEND,232308,038B74,232308,True
5849,5.603745299973525,5,83,+,50.28855519997887,470.77854863087055,,260400.9716874,0072F1,MEDIUM_RESEND,232391,038BC7,232391,True
5955,5.779660799977137,5,106,+,50.464470699982485,602.5620255055624,,260401.1476029,0072F1,MEDIUM_RESEND,232497,038C31,232497,True
6076,5.955106999987038,5,121,+,50.639916899992386,689.6701096585251,,260401.3230491,0072F1,MEDIUM_RESEND,232618,038CAA,232618,True
