timestamp,elapsed_s,raw_position,unwrapped_position,delta_counts,instant_cps,window_slope_cps,commanded_payload,motion_state,valid_position,note
193804.1319423,5.07540600001812,31054,31054,151,858.5980060166672,747.122859671691,003978,moving-transient,True,
193804.3080017,5.2514654000115115,31229,31229,175,993.9827126899702,788.7325526389974,003978,moving-transient,True,
193804.4837483,5.427212000009604,31428,31428,199,1132.3120902604098,863.761662160127,003978,moving-transient,True,
193804.6596617,5.603125399997225,31657,31657,229,1301.7768971329892,983.0472925235724,003978,moving-transient,True,
193804.8355557,5.779019400011748,31903,31903,246,1398.5695929348842,1138.33682996018,003978,moving-transient,True,
193805.0118373,5.955301000009058,32142,32142,239,1355.785289012847,1248.9473813233317,003978,moving-transient,True,
193805.1873932,6.130856900010258,32386,32386,244,1389.8706907505375,1327.413692929917,003978,moving-transient,True,
193805.3632719,6.306735599995591,32626,32626,240,1364.5768363082882,1366.8769665943241,003978,moving-transient,True,
193805.5391868,6.482650499994634,32871,32871,245,1392.7188657773324,1377.9303909492621,003978,moving-transient,True,
193805.7150886,6.658552300010342,33111,33111,240,1364.3976353770538,1375.4960107082352,003978,moving-transient,True,
193805.8910264,6.834490100009134,33356,33356,245,1392.5375899987514,1379.378127661063,003978,moving-transient,True,
193806.067046,7.010509700019611,33632,33632,276,1568.0071991049404,1406.4350613667748,003978,moving-transient,True,
193806.242818,7.186281700007385,33923,33923,291,1655.5537857010302,1463.8006923219282,003978,moving-transient,True,
193806.4191261,7.362589800002752,34186,34186,263,1491.7068473139393,1507.9004024785359,003978,moving-transient,True,
193806.5950059,7.538469599996461,34450,34450,264,1501.0251319903898,1538.394469890268,003978,moving-transient,True,
193806.7705499,7.7140135999943595,34745,34745,295,1680.4903614109899,1569.055134588936,003978,moving-transient,True,
193806.9464595,7.889923200011253,35063,35063,318,1807.7467060891518,1605.6930179262943,003978,moving-transient,True,
193807.1224198,8.065883500006748,35412,35412,349,1983.4019378742546,1684.8023940038463,003978,moving-transient,True,
193807.2983116,8.24177530000452,35705,35705,293,1665.7968137440903,1754.7862890784784,003978,moving-transient,True,
193807.4742033,8.41766700000153,36023,36023,318,1807.930675554368,1802.3767862879063,003978,moving-transient,True,
193807.6501137,8.59357739999541,36373,36373,350,1989.649276064255,1837.4392422017386,003978,moving-transient,True,
193807.8260313,8.769495000015013,36726,36726,353,2006.621281558332,1870.4435711333767,003978,moving-transient,True,
193808.0019426,8.945406300015748,37083,37083,357,2029.431878443904,1911.4208918530353,003978,moving-transient,True,
193808.1781158,9.121579500002554,37450,37450,367,2083.177237102381,1990.5384120758667,003978,moving-transient,True,
193808.3537542,9.297217900020769,37811,37811,361,2055.3591923096615,2034.535754544347,003978,moving-transient,True,
193808.5298484,9.47331210001721,38175,38175,364,2067.075463060995,2051.3108798751396,003978,moving-transient,True,
193808.7055378,9.649001500016311,38541,38541,366,2083.221867693062,2064.6789165594446,003978,moving-transient,True,
193808.8814703,9.82493400000385,38893,38893,352,2000.76733988849,2060.917420496543,003978,moving-transient,True,
