cumulative_from_start,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
8073,312,+,6.454488700022921,1770.527191363712,,212283.5250328,0072F1,MEDIUM,62473,00F409,62473,True
8407,334,+,6.630178100022022,1901.082250845581,,212283.7007222,0072F1,MEDIUM,62807,00F557,62807,True
8675,268,+,6.806320500007132,1521.496244076693,,212283.8768646,0072F1,MEDIUM,63075,00F663,63075,True
8963,288,+,6.981997000024421,1639.3769227623313,,212284.0525411,0072F1,MEDIUM,63363,00F783,63363,True
9285,322,+,7.15774870000314,1832.130215747503,,212284.2282928,0072F1,MEDIUM,63685,00F8C5,63685,True
9634,349,+,7.333608600019943,1984.5342796547325,,212284.4041527,0072F1,MEDIUM,64034,00FA22,64034,True
9923,289,+,7.509529600007227,1642.7828401435308,,212284.5800737,0072F1,MEDIUM,64323,00FB43,64323,True
10267,344,+,7.685443399997894,1955.5032067879306,,212284.7559875,0072F1,MEDIUM,64667,00FC9B,64667,True
10637,370,+,7.861362100025872,2103.244282393829,,212284.9319062,0072F1,MEDIUM,65037,00FE0D,65037,True
11043,406,+,8.037651200022083,2303.035184868073,,212285.1081953,0072F1,MEDIUM,65443,00FFA3,65443,True
11434,391,+,8.213533000001917,2223.0839122912716,,212285.2840771,0072F1,MEDIUM,65834,01012A,65834,True
11852,418,+,8.389349800010677,2377.474734946669,,212285.4598939,0072F1,MEDIUM,66252,0102CC,66252,True
12275,423,+,8.565018200024497,2407.9458796614745,,212285.6355623,0072F1,MEDIUM,66675,010473,66675,True
12688,413,+,8.740910599997733,2348.0264074106813,,212285.8114547,0072F1,MEDIUM,67088,010610,67088,True
13109,421,+,8.916810200025793,2393.410786226006,,212285.9873543,0072F1,MEDIUM,67509,0107B5,67509,True
13543,434,+,9.09277060002205,2466.4640453717616,,212286.1633147,0072F1,MEDIUM,67943,010967,67943,True
13943,400,+,9.268645800009836,2274.339986693855,,212286.3391899,0072F1,MEDIUM,68343,010AF7,68343,True
14366,423,+,9.44458010001108,2404.3066076200416,,212286.5151242,0072F1,MEDIUM,68766,010C9E,68766,True
14824,458,+,9.620435100019677,2604.4184127696803,,212286.6909792,0072F1,MEDIUM,69224,010E68,69224,True
15321,497,+,9.796328199998243,2825.5798553812683,,212286.8668723,0072F1,MEDIUM,69721,011059,69721,True
15823,502,+,9.9727481000009,2845.483984473639,,212287.0432922,0072F1,MEDIUM,70223,01124F,70223,True
