cumulative_progress,cycle,cycle_elapsed_s,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
10720,3,7.534538499981863,355,+,29.522464899986517,2015.0247055344935,,212127.4347054,0072F1,MEDIUM,47834,00BADA,47834,True
11047,3,7.710236099985195,327,+,29.69816249998985,1861.152343536843,,212127.610403,0072F1,MEDIUM,48161,00BC21,48161,True
11368,3,7.886152699997183,321,+,29.874079100001836,1824.7283086310551,,212127.7863196,0072F1,MEDIUM,48482,00BD62,48482,True
11711,3,8.062073099979898,343,+,30.04999949998455,1949.7454532487495,,212127.96224,0072F1,MEDIUM,48825,00BEB9,48825,True
12053,3,8.23835409997264,342,+,30.226280499977292,1940.0842973098777,,212128.138521,0072F1,MEDIUM,49167,00C00F,49167,True
12432,3,8.41433099997812,379,+,30.402257399982773,2153.6917628859082,,212128.3144979,0072F1,MEDIUM,49546,00C18A,49546,True
12836,3,8.589762199990219,404,+,30.57768859999487,2302.897089982496,,212128.4899291,0072F1,MEDIUM,49950,00C31E,49950,True
13262,3,8.766164199972991,426,+,30.754090599977644,2414.938606374098,,212128.6663311,0072F1,MEDIUM,50376,00C4C8,50376,True
13669,3,8.941559599974426,407,+,30.92948599997908,2320.4713464359443,,212128.8417265,0072F1,MEDIUM,50783,00C65F,50783,True
14101,3,9.117484999995213,432,+,31.105411399999866,2455.586287988855,,212129.0176519,0072F1,MEDIUM,51215,00C80F,51215,True
14557,3,9.293598699994618,456,+,31.28152509999927,2589.2363853666147,,212129.1937656,0072F1,MEDIUM,51671,00C9D7,51671,True
15045,3,9.469295299990335,488,+,31.45722169999499,2777.515330472502,,212129.3694622,0072F1,MEDIUM,52159,00CBBF,52159,True
15526,3,9.645312199980253,481,+,31.633238599984907,2732.692145058522,,212129.5454791,0072F1,MEDIUM,52640,00CDA0,52640,True
16006,3,9.821117299987236,480,+,31.80904369999189,2730.296219967084,,212129.7212842,0072F1,MEDIUM,53120,00CF80,53120,True
16497,3,9.997068599972408,491,+,31.98499499997706,2790.544883961514,,212129.8972355,0072F1,MEDIUM,53611,00D16B,53611,True
16975,3,10.172924799990142,478,+,32.160851199994795,2718.1299263363935,,212130.0730917,0072F1,MEDIUM,54089,00D349,54089,True
