cumulative_progress,cycle,cycle_elapsed_s,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
13186,2,8.769470900006127,424,+,20.187005299987504,2411.4640089326626,,212118.0992458,0072F1,MEDIUM,33309,00821D,33309,True
13552,2,8.945407400024123,366,+,20.3629418000055,2080.2960156793,,212118.2751823,0072F1,MEDIUM,33675,00838B,33675,True
13982,2,9.12169250001898,430,+,20.539226900000358,2439.2305419604113,,212118.4514674,0072F1,MEDIUM,34105,008539,34105,True
14437,2,9.29723730002297,455,+,20.71477170000435,2591.930948621986,,212118.6270122,0072F1,MEDIUM,34560,008700,34560,True
14898,2,9.473453300015535,461,+,20.890987699996913,2616.107504536776,,212118.8032282,0072F1,MEDIUM,35021,0088CD,35021,True
15315,2,9.649016000010306,417,+,21.066550399991684,2375.219793341185,,212118.9787909,0072F1,MEDIUM,35438,008A6E,35438,True
15755,2,9.824939900019672,440,+,21.24247430000105,2501.081433373041,,212119.1547148,0072F1,MEDIUM,35878,008C26,35878,True
16253,2,10.00083220002125,498,+,21.418366600002628,2831.278003616594,,212119.3306071,0072F1,MEDIUM,36376,008E18,36376,True
16253,2,10.176733100001002,,+,21.59426749998238,,malformed-outside-modulus,212119.506508,0072F1,MEDIUM,8425467,808FFB,36376,False
101,3,0.15014269997482188,101,+,22.138069099979475,672.690689586973,,212120.0503096,00E5E3,FAST,37215,00915F,37215,True
333,3,0.32646029998431914,232,+,22.314386699988972,1315.807383877182,,212120.2266272,00E5E3,FAST,37447,009247,37447,True
673,3,0.5018642999930307,340,+,22.489790699997684,1938.3822488832272,,212120.4020312,00E5E3,FAST,37787,00939B,37787,True
1085,3,0.6777717999939341,412,+,22.665698199998587,2342.140045182179,,212120.5779387,00E5E3,FAST,38199,009537,38199,True
1537,3,0.8537672999955248,452,+,22.841693700000178,2568.2474835772205,,212120.7539342,00E5E3,FAST,38651,0096FB,38651,True
2037,3,1.0296051999903284,500,+,23.01753159999498,2843.5280449480806,,212120.9297721,00E5E3,FAST,39151,0098EF,39151,True
2506,3,1.2055487999750767,469,+,23.19347519997973,2665.6269397730603,,212121.1057157,00E5E3,FAST,39620,009AC4,39620,True
2997,3,1.38180229999125,491,+,23.369728699995903,2785.7602825189,,212121.2819692,00E5E3,FAST,40111,009CAF,40111,True
3485,3,1.5577790999959689,488,+,23.545705500000622,2773.0928167060333,,212121.457946,00E5E3,FAST,40599,009E97,40599,True
3968,3,1.7332110999850556,483,+,23.72113749998971,2753.2035206236396,,212121.633378,00E5E3,FAST,41082,00A07A,41082,True
4471,3,1.9091356999997515,503,+,23.897062100004405,2859.1794436820196,,212121.8093026,00E5E3,FAST,41585,00A271,41585,True
4966,3,2.0850309999950696,495,+,24.072957399999723,2814.174113880108,,212121.9851979,00E5E3,FAST,42080,00A460,42080,True
5389,3,2.2612393999879714,423,+,24.249165799992625,2400.566601915911,,212122.1614063,0072F1,MEDIUM,42503,00A607,42503,True
5576,3,2.4373307999921963,187,+,24.42525719999685,1061.9485108046924,,212122.3374977,0072F1,MEDIUM,42690,00A6C2,42690,True
5655,3,2.612785499979509,79,+,24.600711899984162,450.2586707891697,,212122.5129524,0072F1,MEDIUM,42769,00A711,42769,True
5694,3,2.7890938999771606,39,+,24.777020299981814,221.20330058306627,,212122.6892608,0072F1,MEDIUM,42808,00A738,42808,True
5728,3,2.9647458999825176,34,+,24.95267229998717,193.56454807780773,,212122.8649128,0072F1,MEDIUM,42842,00A75A,42842,True
5739,3,3.1405071999761276,11,+,25.12843359998078,62.58488074678508,,212123.0406741,0072F1,MEDIUM,42853,00A765,42853,True
5763,3,3.3168685999989975,24,+,25.30479500000365,136.08419981292826,,212123.2170355,0072F1,MEDIUM,42877,00A77D,42877,True
5803,3,3.4923290999722667,40,+,25.48025549997692,227.9715377882422,,212123.392496,0072F1,MEDIUM,42917,00A7A5,42917,True
5848,3,3.668349699990358,45,+,25.65627609999501,255.65189526325256,,212123.5685166,0072F1,MEDIUM,42962,00A7D2,42962,True
5912,3,3.8446132999961264,64,+,25.83253970000078,363.0925500097899,,212123.7447802,0072F1,MEDIUM,43026,00A812,43026,True
5963,3,4.020044999982929,51,+,26.007971399987582,290.7114278880994,,212123.9202119,0072F1,MEDIUM,43077,00A845,43077,True
6037,3,4.196012099971995,74,+,26.183938499976648,420.53315650822316,,212124.096179,0072F1,MEDIUM,43151,00A88F,43151,True
6126,3,4.372260399977677,89,+,26.36018679998233,504.96940961774305,,212124.2724273,0072F1,MEDIUM,43240,00A8E8,43240,True
6126,3,4.547919799981173,16513,+,26.535846199985826,,implausible-jump,212124.4480867,0072F1,MEDIUM,59753,00E969,43240,False
6392,3,4.724184399994556,266,+,26.71211079999921,755.8450119549728,,212124.6243513,0072F1,MEDIUM,43506,00A9F2,43506,True
6547,3,4.900060899992241,155,+,26.887987299996894,881.3002305711135,,212124.8002278,0072F1,MEDIUM,43661,00AA8D,43661,True
6718,3,5.075719199987361,171,+,27.063645599992014,973.4809001609943,,212124.9758861,0072F1,MEDIUM,43832,00AB38,43832,True
6933,3,5.251797399978386,215,+,27.23972379998304,1221.0483751592126,,212125.1519643,0072F1,MEDIUM,44047,00AC0F,44047,True
7145,3,5.427336499997182,212,+,27.415262900001835,1207.7081401083885,,212125.3275034,0072F1,MEDIUM,44259,00ACE3,44259,True
7399,3,5.603273699991405,254,+,27.59120009999606,1443.6969555519809,,212125.5034406,0072F1,MEDIUM,44513,00ADE1,44513,True
7624,3,5.779515699978219,225,+,27.767442099982873,1276.6536921779912,,212125.6796826,0072F1,MEDIUM,44738,00AEC2,44738,True
7883,3,5.955072299984749,259,+,27.942998699989403,1475.3076784943783,,212125.8552392,0072F1,MEDIUM,44997,00AFC5,44997,True
7883,3,6.131017399980919,,+,28.118943799985573,,malformed-outside-modulus,212126.0311843,0072F1,MEDIUM,8433831,80B0A7,44997,False
8375,3,6.302938999986509,492,+,28.290865399991162,1414.3348587189046,,212126.2031059,0072F1,MEDIUM,45489,00B1B1,45489,True
8671,3,6.479313399991952,296,+,28.467239799996605,1678.2480903740297,,212126.3794803,0072F1,MEDIUM,45785,00B2D9,45785,True
9005,3,6.654751800000668,334,+,28.64267820000532,1903.8021321638082,,212126.5549187,0072F1,MEDIUM,46119,00B427,46119,True
9304,3,6.830637499981094,299,+,28.818563899985747,1699.9676496342465,,212126.7308044,0072F1,MEDIUM,46418,00B552,46418,True
9641,3,7.006611499993596,337,+,28.99453789999825,1915.0556330824886,,212126.9067784,0072F1,MEDIUM,46755,00B6A3,46755,True
10002,3,7.1828957999823615,361,+,29.170822199987015,2047.8284227410313,,212127.0830627,0072F1,MEDIUM,47116,00B80C,47116,True
10365,3,7.358361999999033,363,+,29.346288400003687,2068.774498823761,,212127.2585289,0072F1,MEDIUM,47479,00B977,47479,True
